time,HU,HUA,WS,WSA,IR
2005-05-01 00:00:00,73.6,,8.7,,0.0
2005-05-01 01:00:00,76.2,,4.0,,0.0
2005-05-01 02:00:00,79.9,,1.9,,0.0
2005-05-01 03:00:00,78.3,,3.2,,0.0
2005-05-01 04:00:00,78.6,,4.6,,0.0
2005-05-01 05:00:00,81.5,,7.7,,0.0
2005-05-01 06:00:00,81.9,,8.3,,23.4
2005-05-01 07:00:00,75.1,,8.9,,91.6
2005-05-01 08:00:00,67.3,,11.3,,243.0
2005-05-01 09:00:00,60.7,,7.6,,334.6
2005-05-01 10:00:00,56.9,,5.7,,428.8
2005-05-01 11:00:00,53.5,,8.2,,490.4
2005-05-01 12:00:00,50.4,,6.7,,641.2
2005-05-01 13:00:00,42.8,,6.1,,555.6
2005-05-01 14:00:00,38.1,,4.8,,528.0
2005-05-01 15:00:00,36.5,,5.0,,548.1
2005-05-01 16:00:00,35.6,,4.9,,401.9
2005-05-01 17:00:00,35.8,,4.3,,322.3
2005-05-01 18:00:00,37.1,,4.2,,192.3
2005-05-01 19:00:00,36.9,,5.1,,93.8
2005-05-01 20:00:00,45.3,,11.1,,38.9
2005-05-01 21:00:00,54.1,,7.4,,0.0
2005-05-01 22:00:00,60.8,,10.3,,0.0
2005-05-01 23:00:00,68.2,,11.6,,0.0
2005-05-02 00:00:00,72.5,,12.1,,0.0
2005-05-02 01:00:00,77.4,,12.6,,0.0
2005-05-02 02:00:00,80.2,,11.2,,0.0
2005-05-02 03:00:00,83.0,,7.9,,0.0
2005-05-02 04:00:00,85.0,,8.0,,0.0
2005-05-02 05:00:00,83.6,,7.3,,0.0
2005-05-02 06:00:00,83.9,,6.5,,31.4
2005-05-02 07:00:00,71.6,,4.4,,167.9
2005-05-02 08:00:00,58.7,,8.1,,337.4
2005-05-02 09:00:00,47.9,,13.2,,506.8
2005-05-02 10:00:00,39.2,,13.9,,656.3
2005-05-02 11:00:00,34.4,,13.4,,768.7
2005-05-02 12:00:00,31.9,,16.9,,839.4
2005-05-02 13:00:00,28.2,,12.6,,856.9
2005-05-02 14:00:00,27.7,,14.5,,840.9
2005-05-02 15:00:00,26.0,,14.7,,769.9
2005-05-02 16:00:00,24.5,,19.2,,657.2
2005-05-02 17:00:00,23.9,,17.0,,512.0
2005-05-02 18:00:00,24.4,,15.6,,340.5
2005-05-02 19:00:00,27.9,,18.6,,174.4
