time,HU,HUA,WS,WSA,IR
2005-05-01 00:00:00,77.6,,15.8,,0.0
2005-05-01 01:00:00,76.3,,12.1,,0.0
2005-05-01 02:00:00,81.6,,9.1,,0.0
2005-05-01 03:00:00,91.1,,9.5,,0.0
2005-05-01 04:00:00,87.2,,5.3,,0.0
2005-05-01 05:00:00,84.1,,6.7,,0.0
2005-05-01 06:00:00,82.3,,6.2,,11.4
2005-05-01 07:00:00,76.0,,6.8,,105.9
2005-05-01 08:00:00,68.1,,5.2,,217.4
2005-05-01 09:00:00,58.6,,4.8,,339.2
2005-05-01 10:00:00,55.9,,3.6,,377.6
2005-05-01 11:00:00,51.9,,6.2,,364.5
2005-05-01 12:00:00,49.6,,4.8,,451.4
2005-05-01 13:00:00,39.8,,8.5,,500.4
2005-05-01 14:00:00,41.4,,3.7,,625.0
2005-05-01 15:00:00,35.7,,10.5,,726.6
2005-05-01 16:00:00,33.7,,9.6,,605.3
2005-05-01 17:00:00,36.2,,12.8,,457.1
2005-05-01 18:00:00,36.1,,10.5,,285.5
2005-05-01 19:00:00,39.0,,10.2,,149.4
2005-05-01 20:00:00,57.6,,13.7,,9.4
2005-05-01 21:00:00,63.4,,12.8,,0.0
2005-05-01 22:00:00,76.3,,13.8,,0.0
2005-05-01 23:00:00,82.2,,10.1,,0.0
2005-05-02 00:00:00,85.8,,12.8,,0.0
2005-05-02 01:00:00,84.4,,12.9,,0.0
2005-05-02 02:00:00,84.1,,15.5,,0.0
2005-05-02 03:00:00,86.6,,14.1,,0.0
2005-05-02 04:00:00,86.9,,15.4,,0.0
2005-05-02 05:00:00,87.7,,8.8,,0.1
2005-05-02 06:00:00,84.7,,7.8,,24.2
2005-05-02 07:00:00,71.2,,9.2,,201.1
2005-05-02 08:00:00,55.4,,10.5,,374.5
2005-05-02 09:00:00,45.1,,6.2,,540.9
2005-05-02 10:00:00,37.7,,6.0,,684.6
2005-05-02 11:00:00,34.1,,9.7,,794.3
2005-05-02 12:00:00,30.4,,12.4,,868.4
2005-05-02 13:00:00,27.1,,3.8,,881.0
2005-05-02 14:00:00,27.1,,5.0,,847.9
2005-05-02 15:00:00,25.9,,11.1,,762.4
2005-05-02 16:00:00,25.3,,6.1,,645.4
2005-05-02 17:00:00,25.3,,7.0,,493.5
2005-05-02 18:00:00,25.4,,8.5,,321.1
2005-05-02 19:00:00,28.7,,9.6,,153.5
2005-05-02 20:00:00,39.6,,14.0,,9.5
2005-05-02 21:00:00,46.2,,13.7,,0.0
2005-05-02 22:00:00,57.7,,14.8,,0.0
2005-05-02 23:00:00,66.4,,15.4,,0.0
2005-05-03 00:00:00,67.4,,15.4,,0.0
2005-05-03 01:00:00,68.6,,12.3,,0.0
2005-05-03 02:00:00,65.7,,14.6,,0.0
2005-05-03 03:00:00,73.7,,10.7,,0.0
2005-05-03 04:00:00,75.7,,13.2,,0.0
2005-05-03 05:00:00,78.8,,11.7,,0.4
2005-05-03 06:00:00,65.0,,18.2,,53.3
2005-05-03 07:00:00,47.0,,21.2,,207.0
2005-05-03 08:00:00,33.9,,20.0,,373.5
2005-05-03 09:00:00,22.5,,20.5,,533.5
2005-05-03 10:00:00,20.6,,17.0,,639.3
2005-05-03 11:00:00,16.7,,26.7,,760.2
2005-05-03 12:00:00,15.6,,28.2,,822.4
2005-05-03 13:00:00,17.6,,23.9,,854.4
2005-05-03 14:00:00,17.2,,19.0,,736.1
2005-05-03 15:00:00,19.1,,14.5,,469.6
2005-05-03 16:00:00,20.2,,16.1,,392.7
2005-05-03 17:00:00,26.7,,26.8,,255.6
2005-05-03 18:00:00,28.6,,11.2,,163.5
2005-05-03 19:00:00,31.8,,18.8,,80.6
2005-05-03 20:00:00,35.2,,12.5,,6.0
2005-05-03 21:00:00,45.2,,16.2,,0.0
2005-05-03 22:00:00,52.3,,10.1,,0.0
2005-05-03 23:00:00,55.8,,20.5,,0.0
2005-05-04 00:00:00,62.7,,13.8,,0.0
2005-05-04 01:00:00,60.0,,20.3,,0.0
2005-05-04 02:00:00,63.7,,17.1,,0.0
2005-05-04 03:00:00,67.8,,14.9,,0.0
2005-05-04 04:00:00,69.7,,17.5,,0.0
2005-05-04 05:00:00,74.6,,16.2,,0.3
2005-05-04 06:00:00,74.3,,13.2,,36.4
2005-05-04 07:00:00,66.0,,16.0,,160.1
2005-05-04 08:00:00,56.4,,16.9,,268.5
2005-05-04 09:00:00,41.4,,18.3,,380.6
2005-05-04 10:00:00,40.4,,15.6,,561.9
2005-05-04 11:00:00,33.4,,7.8,,761.3
2005-05-04 12:00:00,30.9,,6.4,,716.4
2005-05-04 13:00:00,34.0,,11.5,,713.3
2005-05-04 14:00:00,31.6,,13.7,,649.0
2005-05-04 15:00:00,35.4,,15.5,,535.1
2005-05-04 16:00:00,32.4,,5.2,,407.4
2005-05-04 17:00:00,32.3,,11.3,,382.1
2005-05-04 18:00:00,32.6,,11.1,,248.4
2005-05-04 19:00:00,35.7,,8.4,,152.8
2005-05-04 20:00:00,47.5,,10.7,,11.0
2005-05-04 21:00:00,54.9,,15.4,,0.0
2005-05-04 22:00:00,55.8,,5.5,,0.0
2005-05-04 23:00:00,60.3,,12.1,,0.0
2005-05-05 00:00:00,67.1,,13.1,,0.0
2005-05-05 01:00:00,70.5,,15.6,,0.0
2005-05-05 02:00:00,74.4,,14.0,,0.0
2005-05-05 03:00:00,77.4,,10.6,,0.0
2005-05-05 04:00:00,65.0,,15.0,,0.0
2005-05-05 05:00:00,54.8,,25.5,,0.7
2005-05-05 06:00:00,52.9,,22.5,,42.9
2005-05-05 07:00:00,40.9,,29.6,,180.5
2005-05-05 08:00:00,37.9,,30.1,,349.9
2005-05-05 09:00:00,33.1,,29.1,,473.8
2005-05-05 10:00:00,32.3,,28.5,,591.0
2005-05-05 11:00:00,31.4,,35.4,,678.4
2005-05-05 12:00:00,30.1,,32.0,,796.8
2005-05-05 13:00:00,29.8,,29.4,,786.6
2005-05-05 14:00:00,26.2,,30.8,,732.0
2005-05-05 15:00:00,25.8,,25.5,,603.3
2005-05-05 16:00:00,25.7,,27.3,,551.3
2005-05-05 17:00:00,25.2,,28.6,,341.1
2005-05-05 18:00:00,25.2,,25.6,,212.7
2005-05-05 19:00:00,28.9,,21.2,,93.5
2005-05-05 20:00:00,36.1,,18.8,,8.6
2005-05-05 21:00:00,43.2,,25.1,,0.0
2005-05-05 22:00:00,44.2,,28.3,,0.0
2005-05-05 23:00:00,45.9,,28.2,,0.0
2005-05-06 00:00:00,45.7,,32.8,,0.0
2005-05-06 01:00:00,44.7,,30.5,,0.0
2005-05-06 02:00:00,46.9,,28.5,,0.0
2005-05-06 03:00:00,49.9,,25.8,,0.0
2005-05-06 04:00:00,53.1,,29.0,,0.0
2005-05-06 05:00:00,53.8,,24.7,,0.3
2005-05-06 06:00:00,60.7,,21.6,,15.6
2005-05-06 07:00:00,60.3,,27.8,,79.0
2005-05-06 08:00:00,57.3,,28.2,,221.2
2005-05-06 09:00:00,45.0,,22.0,,370.4
2005-05-06 10:00:00,45.2,,10.2,,563.0
2005-05-06 11:00:00,39.2,,5.0,,734.4
2005-05-06 12:00:00,37.6,,8.1,,749.3
2005-05-06 13:00:00,36.7,,11.6,,737.1
2005-05-06 14:00:00,33.7,,18.3,,836.5
2005-05-06 15:00:00,33.6,,19.9,,604.6
2005-05-06 16:00:00,36.4,,22.3,,575.8
2005-05-06 17:00:00,38.5,,21.8,,376.8
2005-05-06 18:00:00,41.1,,19.1,,281.1
2005-05-06 19:00:00,45.6,,19.4,,149.9
2005-05-06 20:00:00,53.6,,12.5,,11.7
2005-05-06 21:00:00,57.8,,13.1,,0.0
2005-05-06 22:00:00,59.6,,13.3,,0.0
2005-05-06 23:00:00,71.0,,13.0,,0.0
2005-05-07 00:00:00,76.8,,15.7,,0.0
2005-05-07 01:00:00,80.8,,4.4,,0.0
2005-05-07 02:00:00,81.2,,7.2,,0.0
2005-05-07 03:00:00,83.4,,8.8,,0.0
2005-05-07 04:00:00,89.3,,13.8,,0.0
2005-05-07 05:00:00,90.2,,18.7,,0.5
2005-05-07 06:00:00,92.0,,22.5,,22.0
2005-05-07 07:00:00,83.3,,17.3,,53.1
2005-05-07 08:00:00,81.0,,14.8,,113.2
2005-05-07 09:00:00,82.6,,19.2,,153.5
2005-05-07 10:00:00,84.2,,24.4,,207.6
2005-05-07 11:00:00,76.1,,19.1,,432.1
2005-05-07 12:00:00,59.4,,20.4,,493.6
2005-05-07 13:00:00,60.5,,25.0,,387.8
2005-05-07 14:00:00,60.6,,24.5,,296.8
2005-05-07 15:00:00,58.1,,28.3,,183.3
2005-05-07 16:00:00,55.2,,29.6,,202.7
2005-05-07 17:00:00,54.5,,28.2,,217.4
2005-05-07 18:00:00,55.2,,26.8,,178.6
2005-05-07 19:00:00,60.6,,31.1,,76.1
2005-05-07 20:00:00,67.2,,21.9,,7.4
2005-05-07 21:00:00,72.3,,17.6,,0.0
2005-05-07 22:00:00,74.9,,19.7,,0.0
2005-05-07 23:00:00,80.5,,15.3,,0.0
2005-05-08 00:00:00,82.7,,11.4,,0.0
2005-05-08 01:00:00,85.9,,11.7,,0.0
2005-05-08 02:00:00,87.6,,8.3,,0.0
2005-05-08 03:00:00,86.8,,11.2,,0.0
2005-05-08 04:00:00,86.5,,7.7,,0.0
2005-05-08 05:00:00,88.3,,12.6,,0.2
2005-05-08 06:00:00,88.4,,10.4,,14.4
2005-05-08 07:00:00,84.8,,12.9,,70.2
2005-05-08 08:00:00,78.0,,6.9,,155.7
2005-05-08 09:00:00,74.3,,2.1,,357.9
2005-05-08 10:00:00,70.4,,5.0,,446.1
2005-05-08 11:00:00,66.0,,6.7,,481.6
2005-05-08 12:00:00,64.8,,7.5,,465.5
2005-05-08 13:00:00,62.0,,1.9,,267.3
2005-05-08 14:00:00,57.4,,4.4,,272.4
2005-05-08 15:00:00,50.8,,5.6,,252.9
2005-05-08 16:00:00,48.1,,10.6,,352.6
2005-05-08 17:00:00,45.2,,12.9,,265.1
2005-05-08 18:00:00,45.4,,11.0,,209.5
2005-05-08 19:00:00,49.9,,12.3,,118.4
2005-05-08 20:00:00,55.6,,10.0,,10.6
2005-05-08 21:00:00,52.7,,15.8,,0.0
2005-05-08 22:00:00,61.7,,17.1,,0.0
2005-05-08 23:00:00,73.0,,14.5,,0.0
2005-05-09 00:00:00,76.8,,15.9,,0.0
2005-05-09 01:00:00,84.3,,10.2,,0.0
2005-05-09 02:00:00,84.6,,15.1,,0.0
2005-05-09 03:00:00,89.5,,12.9,,0.0
2005-05-09 04:00:00,88.8,,2.4,,0.0
2005-05-09 05:00:00,92.1,,9.0,,0.7
2005-05-09 06:00:00,86.5,,4.4,,51.6
2005-05-09 07:00:00,73.6,,11.2,,206.8
2005-05-09 08:00:00,64.8,,14.0,,347.5
2005-05-09 09:00:00,62.6,,14.3,,469.2
2005-05-09 10:00:00,47.2,,13.9,,549.6
2005-05-09 11:00:00,39.7,,15.7,,585.1
2005-05-09 12:00:00,41.1,,17.8,,486.4
2005-05-09 13:00:00,36.8,,19.3,,399.2
2005-05-09 14:00:00,36.0,,20.2,,371.7
2005-05-09 15:00:00,35.3,,20.1,,449.6
2005-05-09 16:00:00,37.2,,23.4,,351.0
2005-05-09 17:00:00,36.3,,19.5,,241.4
