time,HU,HUA,WS,WSA,IR
2005-05-01 00:00:00,57.6,,8.7,,
2005-05-01 01:00:00,66.5,,5.5,,
2005-05-01 02:00:00,74.6,,9.5,,
2005-05-01 03:00:00,71.7,,8.6,,
2005-05-01 04:00:00,76.7,,11.3,,
2005-05-01 05:00:00,80.2,,8.1,,
2005-05-01 06:00:00,74.7,,7.9,,
2005-05-01 07:00:00,66.7,,9.0,,
2005-05-01 08:00:00,54.5,,6.2,,
2005-05-01 09:00:00,48.0,,4.9,,
2005-05-01 10:00:00,41.9,,5.5,,
2005-05-01 11:00:00,38.2,,9.0,,
2005-05-01 12:00:00,34.1,,11.1,,
2005-05-01 13:00:00,28.8,,6.7,,
2005-05-01 14:00:00,27.9,,9.2,,
2005-05-01 15:00:00,26.2,,6.6,,
2005-05-01 16:00:00,26.1,,9.7,,
2005-05-01 17:00:00,23.3,,4.6,,
2005-05-01 18:00:00,23.4,,9.6,,
2005-05-01 19:00:00,23.9,,7.9,,
2005-05-01 20:00:00,33.1,,8.5,,
2005-05-01 21:00:00,39.1,,10.0,,
2005-05-01 22:00:00,56.2,,7.8,,
2005-05-01 23:00:00,53.0,,14.9,,
2005-05-02 00:00:00,63.4,,7.1,,
2005-05-02 01:00:00,65.9,,6.8,,
2005-05-02 02:00:00,71.0,,9.6,,
2005-05-02 03:00:00,62.2,,8.4,,
2005-05-02 04:00:00,71.1,,0.0,,
2005-05-02 05:00:00,89.4,,0.0,,
2005-05-02 06:00:00,83.8,,2.4,,
2005-05-02 07:00:00,68.7,,2.8,,
2005-05-02 08:00:00,46.7,,5.8,,
2005-05-02 09:00:00,39.1,,4.3,,
2005-05-02 10:00:00,34.3,,6.0,,
2005-05-02 11:00:00,29.2,,7.2,,
2005-05-02 12:00:00,26.4,,10.8,,
2005-05-02 13:00:00,24.9,,16.4,,
2005-05-02 14:00:00,21.9,,6.7,,
2005-05-02 15:00:00,22.8,,3.3,,
2005-05-02 16:00:00,21.2,,7.8,,
2005-05-02 17:00:00,19.8,,7.4,,
2005-05-02 18:00:00,21.2,,8.4,,
2005-05-02 19:00:00,21.6,,4.3,,
2005-05-02 20:00:00,26.8,,5.6,,
2005-05-02 21:00:00,45.2,,6.4,,
2005-05-02 22:00:00,52.0,,4.8,,
2005-05-02 23:00:00,65.4,,7.1,,
2005-05-03 00:00:00,68.6,,5.4,,
2005-05-03 01:00:00,71.5,,3.9,,
2005-05-03 02:00:00,81.4,,5.6,,
2005-05-03 03:00:00,78.9,,2.5,,
2005-05-03 04:00:00,88.0,,4.1,,
2005-05-03 05:00:00,83.9,,3.1,,
2005-05-03 06:00:00,85.3,,7.8,,
2005-05-03 07:00:00,65.1,,9.5,,
2005-05-03 08:00:00,53.2,,8.3,,
2005-05-03 09:00:00,37.9,,9.9,,
2005-05-03 10:00:00,28.8,,12.3,,
2005-05-03 11:00:00,28.0,,12.0,,
2005-05-03 12:00:00,22.3,,13.7,,
2005-05-03 13:00:00,19.3,,6.9,,
2005-05-03 14:00:00,20.4,,18.0,,
2005-05-03 15:00:00,20.3,,14.0,,
2005-05-03 16:00:00,19.1,,7.2,,
2005-05-03 17:00:00,22.1,,7.3,,
2005-05-03 18:00:00,27.2,,4.8,,
2005-05-03 19:00:00,23.2,,0.0,,
2005-05-03 20:00:00,32.9,,3.6,,
2005-05-03 21:00:00,40.4,,8.1,,
2005-05-03 22:00:00,63.6,,11.6,,
2005-05-03 23:00:00,77.0,,9.7,,
2005-05-04 00:00:00,85.9,,2.9,,
2005-05-04 01:00:00,90.4,,9.4,,
2005-05-04 02:00:00,95.4,,3.3,,
2005-05-04 03:00:00,96.0,,6.4,,
2005-05-04 04:00:00,93.4,,7.1,,
2005-05-04 05:00:00,85.8,,7.6,,
2005-05-04 06:00:00,91.1,,4.7,,
2005-05-04 07:00:00,67.8,,5.6,,
2005-05-04 08:00:00,57.9,,2.6,,
2005-05-04 09:00:00,44.2,,5.7,,
2005-05-04 10:00:00,36.0,,6.5,,
2005-05-04 11:00:00,29.6,,8.6,,
2005-05-04 12:00:00,22.7,,7.6,,
2005-05-04 13:00:00,43.3,,35.7,,
2005-05-04 14:00:00,36.5,,18.7,,
2005-05-04 15:00:00,32.8,,14.9,,
2005-05-04 16:00:00,29.4,,8.0,,
2005-05-04 17:00:00,25.1,,4.7,,
2005-05-04 18:00:00,26.2,,8.3,,
2005-05-04 19:00:00,33.4,,8.4,,
2005-05-04 20:00:00,38.4,,12.9,,
2005-05-04 21:00:00,52.8,,11.2,,
2005-05-04 22:00:00,54.2,,10.7,,
2005-05-04 23:00:00,55.7,,10.2,,
2005-05-05 00:00:00,70.2,,3.9,,
2005-05-05 01:00:00,81.6,,0.0,,
2005-05-05 02:00:00,83.7,,0.0,,
2005-05-05 03:00:00,87.3,,0.0,,
2005-05-05 04:00:00,84.4,,2.5,,
2005-05-05 05:00:00,82.4,,4.4,,
2005-05-05 06:00:00,82.1,,8.2,,
2005-05-05 07:00:00,73.4,,4.6,,
2005-05-05 08:00:00,65.8,,3.7,,
2005-05-05 09:00:00,59.8,,7.3,,
2005-05-05 10:00:00,56.1,,12.4,,
2005-05-05 11:00:00,61.6,,3.8,,
2005-05-05 12:00:00,61.3,,6.9,,
2005-05-05 13:00:00,53.1,,12.4,,
2005-05-05 14:00:00,42.4,,15.1,,
2005-05-05 15:00:00,47.7,,6.4,,
2005-05-05 16:00:00,44.4,,12.9,,
2005-05-05 17:00:00,45.0,,12.1,,
2005-05-05 18:00:00,45.7,,11.3,,
2005-05-05 19:00:00,50.3,,25.8,,
2005-05-05 20:00:00,56.0,,20.6,,
2005-05-05 21:00:00,67.8,,20.4,,
2005-05-05 22:00:00,73.7,,20.3,,
2005-05-05 23:00:00,78.7,,26.7,,
2005-05-06 00:00:00,77.6,,22.1,,
2005-05-06 01:00:00,82.5,,17.5,,
2005-05-06 02:00:00,78.5,,20.0,,
2005-05-06 03:00:00,77.5,,22.2,,
2005-05-06 04:00:00,73.3,,22.9,,
2005-05-06 05:00:00,75.4,,18.5,,
2005-05-06 06:00:00,71.1,,23.9,,
2005-05-06 07:00:00,63.8,,28.4,,
2005-05-06 08:00:00,51.7,,29.3,,
2005-05-06 09:00:00,43.1,,23.1,,
2005-05-06 10:00:00,36.0,,24.2,,
2005-05-06 11:00:00,31.8,,19.9,,
2005-05-06 12:00:00,30.1,,24.7,,
2005-05-06 13:00:00,27.9,,26.4,,
2005-05-06 14:00:00,27.2,,28.9,,
2005-05-06 15:00:00,22.9,,24.9,,
2005-05-06 16:00:00,20.5,,20.3,,
2005-05-06 17:00:00,19.9,,23.2,,
2005-05-06 18:00:00,20.0,,25.3,,
2005-05-06 19:00:00,19.4,,23.5,,
2005-05-06 20:00:00,22.8,,14.3,,
2005-05-06 21:00:00,29.7,,12.3,,
2005-05-06 22:00:00,28.4,,12.5,,
2005-05-06 23:00:00,33.1,,11.2,,
2005-05-07 00:00:00,43.8,,8.5,,
2005-05-07 01:00:00,61.8,,2.6,,
2005-05-07 02:00:00,71.2,,6.3,,
2005-05-07 03:00:00,77.5,,6.8,,
2005-05-07 04:00:00,67.5,,6.9,,
2005-05-07 05:00:00,76.3,,3.3,,
2005-05-07 06:00:00,80.4,,7.9,,
2005-05-07 07:00:00,56.1,,5.7,,
2005-05-07 08:00:00,43.6,,3.8,,
2005-05-07 09:00:00,36.3,,3.5,,
2005-05-07 10:00:00,29.6,,3.4,,
2005-05-07 11:00:00,26.4,,8.0,,
2005-05-07 12:00:00,23.7,,11.3,,
2005-05-07 13:00:00,20.0,,6.8,,
2005-05-07 14:00:00,18.2,,6.2,,
2005-05-07 15:00:00,17.1,,8.3,,
2005-05-07 16:00:00,18.1,,10.6,,
2005-05-07 17:00:00,16.3,,7.7,,
2005-05-07 18:00:00,17.9,,12.7,,
2005-05-07 19:00:00,18.4,,9.2,,
2005-05-07 20:00:00,29.1,,8.6,,
2005-05-07 21:00:00,30.9,,6.5,,
2005-05-07 22:00:00,46.6,,9.2,,
2005-05-07 23:00:00,54.9,,3.3,,
2005-05-08 00:00:00,68.9,,6.0,,
2005-05-08 01:00:00,64.9,,1.9,,
2005-05-08 02:00:00,81.1,,8.9,,
2005-05-08 03:00:00,71.4,,2.4,,
2005-05-08 04:00:00,80.7,,4.9,,
2005-05-08 05:00:00,81.6,,3.6,,
2005-05-08 06:00:00,78.1,,6.9,,
2005-05-08 07:00:00,58.9,,10.1,,
2005-05-08 08:00:00,44.3,,4.2,,
2005-05-08 09:00:00,33.9,,3.9,,
2005-05-08 10:00:00,28.6,,9.2,,
2005-05-08 11:00:00,25.6,,9.4,,
2005-05-08 12:00:00,22.7,,9.5,,
2005-05-08 13:00:00,16.4,,4.4,,
2005-05-08 14:00:00,16.4,,6.8,,
2005-05-08 15:00:00,15.5,,10.1,,
2005-05-08 16:00:00,14.1,,15.4,,
2005-05-08 17:00:00,21.7,,22.1,,
2005-05-08 18:00:00,23.9,,22.2,,
2005-05-08 19:00:00,25.8,,19.2,,
2005-05-08 20:00:00,31.1,,14.4,,
2005-05-08 21:00:00,41.6,,14.4,,
2005-05-08 22:00:00,50.5,,11.5,,
2005-05-08 23:00:00,57.1,,5.2,,
2005-05-09 00:00:00,59.2,,1.6,,
2005-05-09 01:00:00,69.6,,2.5,,
2005-05-09 02:00:00,74.4,,8.0,,
2005-05-09 03:00:00,67.2,,15.4,,
2005-05-09 04:00:00,74.3,,15.4,,
2005-05-09 05:00:00,74.8,,19.3,,
2005-05-09 06:00:00,69.2,,18.4,,
2005-05-09 07:00:00,62.5,,26.5,,
2005-05-09 08:00:00,59.6,,23.1,,
2005-05-09 09:00:00,57.8,,27.2,,
2005-05-09 10:00:00,54.6,,26.2,,
2005-05-09 11:00:00,52.4,,23.1,,
2005-05-09 12:00:00,49.4,,24.1,,
2005-05-09 13:00:00,45.0,,23.4,,
2005-05-09 14:00:00,38.7,,23.0,,
2005-05-09 15:00:00,36.8,,25.9,,
2005-05-09 16:00:00,35.9,,28.5,,
2005-05-09 17:00:00,34.1,,26.6,,
2005-05-09 18:00:00,33.2,,24.2,,
2005-05-09 19:00:00,27.3,,23.7,,
2005-05-09 20:00:00,29.8,,20.5,,
2005-05-09 21:00:00,33.2,,16.8,,
2005-05-09 22:00:00,36.5,,17.9,,
2005-05-09 23:00:00,43.1,,19.3,,
2005-05-10 00:00:00,51.4,,12.8,,
2005-05-10 01:00:00,43.6,,14.1,,
2005-05-10 02:00:00,54.3,,10.4,,
2005-05-10 03:00:00,57.2,,9.1,,
2005-05-10 04:00:00,55.8,,7.9,,
2005-05-10 05:00:00,57.8,,8.5,,
2005-05-10 06:00:00,57.5,,8.3,,
2005-05-10 07:00:00,53.1,,9.3,,
2005-05-10 08:00:00,48.1,,10.9,,
2005-05-10 09:00:00,45.5,,11.7,,
2005-05-10 10:00:00,40.7,,13.6,,
2005-05-10 11:00:00,34.2,,14.6,,
2005-05-10 12:00:00,27.7,,15.6,,
2005-05-10 13:00:00,25.5,,9.4,,
2005-05-10 14:00:00,25.1,,10.7,,
2005-05-10 15:00:00,23.1,,10.2,,
2005-05-10 16:00:00,22.9,,14.0,,
2005-05-10 17:00:00,24.2,,11.3,,
