time,HU,HUA,WS,WSA,IR
2005-05-01 00:00:00,65.7,,5.9,,
2005-05-01 01:00:00,61.2,,8.7,,
2005-05-01 02:00:00,60.9,,8.8,,
2005-05-01 03:00:00,64.0,,5.6,,
2005-05-01 04:00:00,66.9,,4.0,,
2005-05-01 05:00:00,66.7,,8.4,,
2005-05-01 06:00:00,65.4,,7.7,,
2005-05-01 07:00:00,62.0,,8.4,,
2005-05-01 08:00:00,61.9,,9.5,,
2005-05-01 09:00:00,63.7,,12.6,,
2005-05-01 10:00:00,61.6,,11.0,,
2005-05-01 11:00:00,59.1,,12.0,,
2005-05-01 12:00:00,56.0,,10.1,,
2005-05-01 13:00:00,54.0,,11.3,,
2005-05-01 14:00:00,49.4,,7.6,,
2005-05-01 15:00:00,43.9,,5.0,,
2005-05-01 16:00:00,46.3,,10.5,,
2005-05-01 17:00:00,41.2,,10.6,,
2005-05-01 18:00:00,41.2,,5.6,,
2005-05-01 19:00:00,43.9,,5.2,,
2005-05-01 20:00:00,55.7,,8.7,,
2005-05-01 21:00:00,65.7,,7.2,,
2005-05-01 22:00:00,71.4,,6.2,,
2005-05-01 23:00:00,63.7,,4.4,,
2005-05-02 00:00:00,74.0,,5.7,,
2005-05-02 01:00:00,77.8,,0.0,,
2005-05-02 02:00:00,78.5,,6.0,,
2005-05-02 03:00:00,75.7,,3.0,,
2005-05-02 04:00:00,70.8,,4.7,,
2005-05-02 05:00:00,78.2,,1.6,,
2005-05-02 06:00:00,71.6,,2.3,,
2005-05-02 07:00:00,60.5,,3.3,,
2005-05-02 08:00:00,49.4,,4.3,,
2005-05-02 09:00:00,46.4,,9.6,,
2005-05-02 10:00:00,41.1,,10.9,,
2005-05-02 11:00:00,36.5,,8.2,,
2005-05-02 12:00:00,32.5,,9.9,,
2005-05-02 13:00:00,33.5,,4.4,,
2005-05-02 14:00:00,29.5,,7.1,,
2005-05-02 15:00:00,28.0,,7.3,,
2005-05-02 16:00:00,26.6,,6.2,,
2005-05-02 17:00:00,26.7,,7.4,,
2005-05-02 18:00:00,25.3,,6.1,,
2005-05-02 19:00:00,27.8,,8.6,,
2005-05-02 20:00:00,36.1,,9.9,,
2005-05-02 21:00:00,43.5,,8.3,,
2005-05-02 22:00:00,47.8,,5.6,,
2005-05-02 23:00:00,69.7,,2.8,,
2005-05-03 00:00:00,75.8,,2.4,,
2005-05-03 01:00:00,77.0,,2.2,,
